,Company,name,Year,Number of Records Affected,Organization Type,Reasons for Breach,Reference Link(s),domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,country_code,latitude,longitude
223,Quora,quora,2018,100000000.0,['web'],['hacked'],"[['https://timesofindia.indiatimes.com/business/international-business/quora-says-100-million-users-hit-by-security-breach/articleshow/66930356.cms'], ['https://www.telegraph.co.uk/technology/2018/12/04/passwords-100-million-quora-users-stolen-data-breach/', 'https://ghostarchive.org/archive/20220112/https://www.telegraph.co.uk/technology/2018/12/04/passwords-100-million-quora-users-stolen-data-breach/']]",quora.com,2009.0,internet,201 - 500,"mountain view, california, united states",united states,linkedin.com/company/quora,238.0,493.0,US,187.24.00,-11976.31.00
224,Rakuten,rakuten,2020,1381735.0,['web'],"['misconfig', 'hacked']",[['https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%BC%8F%E6%B4%A9#主な個人情報漏洩事件#2020年']],rakuten.com,1997.0,internet,5001 - 10000,"tokyo, tokyo, japan",japan,linkedin.com/company/rakuten,1953.0,3976.0,JP,3449.44.00,4353.24.00
225,Rambler.ru,rambler&co,2012,98167935.0,['web'],['hacked'],"[['https://arstechnica.com/security/2016/09/98-million-passwords-from-2012-breach-of-russias-yahoo-rambler-ru-leaked/'], ['https://web.archive.org/web/20160909124042/https://www.leakedsource.com/blog/rambler', 'https://www.leakedsource.com/blog/rambler']]",rambler-co.ru,2013.0,internet,1001 - 5000,0,russia,linkedin.com/company/rambler,443.0,1302.0,RU,934.21.00,5417.36.00
226,RBS Worldpay,rbs worldpay,2008,1500000.0,['financial'],['hacked'],[['https://www.theregister.co.uk/2008/12/29/rbs_worldpay_breach/']],0,0.0,0,1 - 10,"	London, United Kingdom",united kingdom,linkedin.com/company/rbs-worldpay,0.0,4.0,GB,6355.51.00,-7269.13.00
227,RENAPER (Argentina),renaper - ministerio del interior,2018,45000000.0,['government'],['poor security'],"[['https://therecord.media/hacker-steals-government-id-database-for-argentinas-entire-population'], ['https://www.hackread.com/hacker-steals-govt-database-entire-argentine-population/']]",0,0.0,government administration,501 - 1000,0,argentina,linkedin.com/company/renaper---ministerio-del-interior,208.0,312.0,AR,-6972.57.00,-10340.52.00
228,Restaurant Depot,restaurant depot enterprises,2011,200000.0,['retail'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,market research,11 - 50,"college point, new york, united states",united states,linkedin.com/company/restaurant-depot-enterprises,9.0,11.0,US,187.24.00,-11976.31.00
229,RockYou!,rockyou,2009,32000000.0,['gaming'],['hacked'],[['https://techcrunch.com/2009/12/14/rockyou-hack-security-myspace-facebook-passwords/']],rockyou.com,2005.0,marketing and advertising,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/rockyou,176.0,536.0,US,187.24.00,-11976.31.00
230,"Sakai City, Japan",sakai city government,2015,680000.0,['government'],['inside job'],[['https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%BC%8F%E6%B4%A9#主な個人情報漏洩事件#2015年']],sakai.lg.jp,0.0,government administration,11 - 50,"Sakai, Osaka, Japan",japan,linkedin.com/company/sakai-city-government,12.0,18.0,JP,3449.44.00,4353.24.00
231,San Francisco Public Utilities Commission,san francisco public utilities commission,2011,180000.0,['government'],['hacked'],[['http://news.cnet.com/68386-245/sf-utilities-agency-warns-of-potential-breach/']],sfwater.org,0.0,utilities,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/sfpuc,604.0,1218.0,US,187.24.00,-11976.31.00
232,Scottrade,scottrade,2015,4600000.0,['financial'],['hacked'],[['http://fortune.com/2015/10/02/scottrade-data-breach/']],scottrade.com,1980.0,financial services,1001 - 5000,"saint louis, missouri, united states",united states,linkedin.com/company/scottrade,1345.0,5498.0,US,187.24.00,-11976.31.00
233,Scribd,scribd,2013,500000.0,['web'],['hacked'],"[['https://nakedsecurity.sophos.com/2013/04/05/scribd-worlds-largest-online-library-admits-to-network-intrusion-password-breach/'], ['https://web.archive.org/web/20140204190425/http://www.nbcnews.com/technology/scribd-hack-exposes-thousands-users-1B9239618', 'https://www.nbcnews.com/technology/scribd-hack-exposes-thousands-users-1B9239618']]",scribd.com,2007.0,online media,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/scribd,108.0,254.0,US,187.24.00,-11976.31.00
234,"Seacoast Radiology, PA","seacoast radiology, pa",2010,231400.0,['healthcare'],['hacked'],"[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html'], ['http://www.fosters.com/apps/pbcs.dll/article?AID=/20110120/GJNEWS_01/']]",0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
235,Sega,sega,2011,1290755.0,['gaming'],['hacked'],[['https://www.zdnet.com/blog/gamification/sega-1-3-million-customer-records-hacked-lulzsec-promises-retribution/481']],sega.co.jp,1940.0,computer games,501 - 1000,"san francisco, california, united states",united states,linkedin.com/company/sega,334.0,1517.0,US,187.24.00,-11976.31.00
236,Service NSW (New South Wales),service nsw,2020,104000.0,['government'],['hacked'],"[['https://thecitizenng.com/analysis-data-breaches-compromised-4-5bn-records-in-half-year-2018-gemalto/', 'https://thecitizenng.com']]",0,2012.0,government administration,1001 - 5000,0,australia,linkedin.com/company/servicensw,403.0,686.0,AU,-4598.18.00,13051.56.00
237,Service Personnel and Veterans Agency (UK),service personnel and veterans agency (uk),2008,50500.0,['government'],['lost / stolen'],[['http://news.bbc.co.uk/1/hi/england/gloucestershire/7639006.stm']],0,0.0,0,0,0,united kingdom,0,0.0,0.0,GB,6355.51.00,-7269.13.00
238,SingHealth,singhealth,2018,1500000.0,['government'],['hacked'],"[['https://www.todayonline.com/singapore/hackers-stole-medical-data-pm-lee-and-15-million-patients-major-cyber-attack-singhealth'], ['https://web.archive.org/web/20180726060044/https://www.channelnewsasia.com/news/singapore/singhealth-health-system-hit-serious-cyberattack-pm-lee-target-10548318', 'https://www.channelnewsasia.com/news/singapore/singhealth-health-system-hit-serious-cyberattack-pm-lee-target-10548318'], ['https://www.straitstimes.com/singapore/personal-info-of-15m-singhealth-patients-including-pm-lee-stolen-in-singapores-most']]",singhealth.com.sg,0.0,hospital & health care,1001 - 5000,0,singapore,linkedin.com/company/singhealth,477.0,925.0,SG,5869.03.00,13766.56.00
239,Slack,slack,2015,500000.0,['tech'],['poor security'],[['https://nakedsecurity.sophos.com/2015/03/30/slack-gets-hacked-rolls-out-two-factor-authentication-after-user-database-breach/']],slack.com,2009.0,computer software,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/tiny-speck-inc,788.0,1015.0,US,187.24.00,-11976.31.00
240,SlickWraps,"slickwraps, inc.",2020,377428.0,['retail'],['poor security'],[['https://medium.com/@lynx0x00/i-hacked-slickwraps-this-is-how-8b0806358fbb']],ryanhendrix.com,2005.0,photography,1 - 10,"wichita, kansas, united states",united states,linkedin.com/company/slickwraps-inc-,4.0,7.0,US,187.24.00,-11976.31.00
241,Snapchat,snapchat,2013,4700000.0,['social network'],['hacked'],[['https://www.washingtonpost.com/news/the-switch/wp/2014/01/01/a-snapchat-security-breach-affects-4-6-million-users-did-snapchat-drag-its-feet-on-a-fix/']],0,0.0,computer software,0,"Santa Monica, California, United States",united states,linkedin.com/company/zsrgzdyddutdsutsutss,7.0,11.0,US,187.24.00,-11976.31.00
242,Sony Online Entertainment,sony online entertainment,2011,24600000.0,['gaming'],['hacked'],"[['http://www.computerworld.com/s/article/9216343/Sony_cuts_off_Sony_Online_Entertainment_service_after_hack'], ['https://money.cnn.com/2011/05/10/technology/sony_hack_fallout/']]",soe.com,1995.0,computer games,201 - 500,"san diego, california, united states",united states,linkedin.com/company/sony-online-entertainment,122.0,1728.0,US,187.24.00,-11976.31.00
243,Sony Pictures,sony pictures,2011,1000000.0,['entertainment'],['hacked'],[['http://mashable.com/2011/06/02/sony-pictures-hacked/']],0,0.0,entertainment,1 - 10,"ulver City, California, United States",united states,linkedin.com/company/toro-tv.---sony-pictures-espa-a,3.0,23.0,US,187.24.00,-11976.31.00
244,Sony PlayStation Network,sony,2011,77000000.0,['gaming'],['hacked'],[['http://mashable.com/2011/05/31/sony-playstation-services-return/']],sony.net,1946.0,entertainment,10001+,"tokyo, tokyo, japan",japan,linkedin.com/company/sony,13109.0,41048.0,JP,3449.44.00,4353.24.00
245,South Africa police,south africa police,2013,16000.0,['government'],['hacked'],[['https://www.wired.co.uk/news/archive/2013-05/22/south-africa-whistleblower-leak']],0,0.0,0,0,0,south africa,linkedin.com/company/british-south-africa-police,2.0,8.0,ZA,-9354.42.00,15647.06.00
246,South Carolina Government,south carolina government,2012,6400000.0,['healthcare'],['inside job'],"[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html'], ['https://web.archive.org/web/20131003225538/http://www.thestate.com/2012/04/20/2241321/personal-information-of-more-than.html#.UFpUVqRYtmg', 'http://www.thestate.com/2012/04/20/2241321/personal-information-of-more-than.html#.UFpUVqRYtmg'], ['https://web.archive.org/web/20140823234354/http://governor.sc.gov/Documents/MANDIANT%20Public%20IR%20Report%20-%20Department%20of%20Revenue%20-%2011%2020%202012.pdf', 'http://governor.sc.gov/Documents/MANDIANT%20Public%20IR%20Report%20-%20Department%20of%20Revenue%20-%2011%2020%202012.pdf'], ['https://web.archive.org/web/20160908171301/http://www.postandcourier.com/article/20121103/PC16/121109713', 'http://www.postandcourier.com/article/20121103/PC16/121109713']]",0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
247,"South Shore Hospital, Massachusetts",south shore hospital,2010,800000.0,['healthcare'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],southshorehealth.org,1922.0,hospital & health care,1001 - 5000,"south weymouth, massachusetts, united states",united states,linkedin.com/company/southshorehealthsystem,1180.0,2215.0,US,187.24.00,-11976.31.00
248,Southern California Medical-Legal Consultants,legal nurse consultants of southern california,2011,300000.0,['healthcare'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],lncofsocal.com,2001.0,legal services,1 - 10,"anaheim, california, united states",united states,linkedin.com/company/legal-nurse-consultants-of-southern-california,2.0,4.0,US,187.24.00,-11976.31.00
249,Spartanburg Regional Healthcare System,spartanburg regional healthcare system,2011,400000.0,['healthcare'],['lost / stolen'],"[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html'], ['https://web.archive.org/web/20130425225615/http://www.spartanburgregional.com/Pages/PatientNotice.aspx', 'http://www.spartanburgregional.com/Pages/PatientNotice.aspx']]",spartanburgregional.com,1921.0,hospital & health care,1001 - 5000,"spartanburg, south carolina, united states",united states,linkedin.com/company/spartanburg-regional-healthcare-system,1579.0,2622.0,US,187.24.00,-11976.31.00
250,Spoutible,spoutible,2024,207114.0,['social network'],['misconfig'],[['https://www.troyhunt.com/how-spoutibles-leaky-api-spurted-out-a-deluge-of-personal-data/']],0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
251,Stanford University,stanford university,2008,72000.0,['academic'],['lost / stolen'],"[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml'], ['http://www.sfgate.com/bayarea/article/Stanford-employees-data-on-stolen-laptop-3281185.php']]",stanford.edu,0.0,higher education,10001+,"stanford, california, united states",united states,linkedin.com/company/stanford-university,13219.0,41535.0,US,187.24.00,-11976.31.00
252,Starbucks,starbucks,2008,97000.0,['retail'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],starbucks.com,1971.0,retail,10001+,"seattle, washington, united states",united states,linkedin.com/company/starbucks,46523.0,147107.0,US,187.24.00,-11976.31.00
253,State of Texas,state of texas,2011,3500000.0,['government'],['accidental'],[['http://www.informationweek.com/security/attacks/texas-data-breach-exposed-35-million-rec/?queryText=Texas%20data%20leak']],texas.gov,0.0,government administration,5001 - 10000,0,united states,linkedin.com/company/state-of-texas,2351.0,3810.0,US,187.24.00,-11976.31.00
254,Steam,steam,2011,35000000.0,['gaming'],['hacked'],[['https://www.bbc.co.uk/news/technology-15690187']],steam.nl,1994.0,marketing and advertising,201 - 500,"noord, noord-brabant, netherlands",netherlands,linkedin.com/company/steam,122.0,214.0,NL,2262.33.00,4859.26.00
255,StockX,stockx,2019,6800000.0,['retail'],['hacked'],[['https://www.engadget.com/2019/08/03/stockx-hacked']],stockx.com,2015.0,consumer goods,51 - 200,"detroit, michigan, united states",united states,linkedin.com/company/stockx,86.0,105.0,US,187.24.00,-11976.31.00
256,Stratfor,stratfor,2011,935000.0,['military'],['accidental'],[['http://bits.blogs.nytimes.com/2011/12/27/questions-about-motives-behind-stratfor-hack/']],stratfor.com,1996.0,information services,51 - 200,"austin, texas, united states",united states,linkedin.com/company/stratfor,70.0,346.0,US,187.24.00,-11976.31.00
257,Sutter Medical Center,sutter medical center,2011,4243434.0,['healthcare'],['lost / stolen'],"[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html'], ['http://www.simplysecurity.com/2011/11/30/sutter-health-sued-for-1-billion-following-data-breach/']]",suttermedicalcenter.org,0.0,hospital & health care,201 - 500,"sacramento, california, united states",united states,linkedin.com/company/sutter-medical-center,205.0,386.0,US,187.24.00,-11976.31.00
258,Syrian government (Syria Files),syria,2012,2434899.0,['government'],['hacked'],"[['https://www.bbc.co.uk/news/world-middle-east-18724328', 'https://www.webcitation.org/692uV9c2N?url=http://www.bbc.co.uk/news/world-middle-east-18724328'], ['https://www.forbes.com/sites/andygreenberg/2012/07/05/wikileaks-announces-its-largest-release-yet-in-the-syria-files-2-4-million-emails-from-syrian-officials-and-companies/', 'https://web.archive.org/web/20120710135536/http://www.forbes.com/sites/andygreenberg/2012/07/05/wikileaks-announces-its-largest-release-yet-in-the-syria-files-2-4-million-emails-from-syrian-officials-and-companies/']]",syriatourism.org,0.0,"leisure, travel & tourism",201 - 500,"madrid, madrid, spain",spain,linkedin.com/company/syria,99.0,112.0,ES,7767.47.00,-1251.42.00
259,Taobao,taobao marketplace,2016,20000000.0,['retail'],['hacked'],[['https://nakedsecurity.sophos.com/2016/02/05/data-breach-in-china-100-million-records-used-to-hack-20-million-taobao-users/']],taobao.com,2003.0,internet,5001 - 10000,"hangzhou, zhejiang, china",china,linkedin.com/company/taobao-marketplace,3270.0,4299.0,CN,1471.06.00,3360.37.00
260,Tangerine Telecom,tangerine communications,2024,243462.0,['telecoms'],['hacked'],[['https://www.bitdefender.com/blog/hotforsecurity/data-breach-at-australian-telco-exposes-personal-info-of-over-230-000-customers/']],tangerinepr.com,2002.0,public relations and communications,51 - 200,"manchester, manchester, united kingdom",united kingdom,linkedin.com/company/tangerine-communications,45.0,185.0,GB,6355.51.00,-7269.13.00
261,Taringa!,taringa!,2017,28722877.0,['web'],['hacked'],[['https://thehackernews.com/2017/09/taringa-data-breach-hacking.html']],taringa.net,2004.0,internet,51 - 200,"buenos aires, distrito federal, argentina",argentina,linkedin.com/company/taringa-,35.0,93.0,AR,-6972.57.00,-10340.52.00
262,Target Corporation,target,2013,110000000.0,['retail'],['hacked'],"[['https://web.archive.org/web/20131225012435/http://www.chicagotribune.com/news/sns-rt-us-target-breach-20131218,0,3434295.story', 'https://www.chicagotribune.com/news/sns-rt-us-target-breach-20131218,0,3434295.story'], ['https://www.huffingtonpost.com/2013/12/19/target-hacked-customer-credit-card-data-accessed_n_4471672.html'], ['https://web.archive.org/web/20211124120538/https://corporate.target.com/press/releases/2013/12/target-confirms-unauthorized-access-to-payment-car', 'https://corporate.target.com/press/releases/2013/12/target-confirms-unauthorized-access-to-payment-car']]",target.com,1962.0,retail,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/target,60602.0,204360.0,US,187.24.00,-11976.31.00
263,TaxSlayer.com,"taxslayer, llc",2016,8800.0,['web'],['hacked'],"[['http://www.marketwatch.com/story/tax-software-firm-warns-of-data-breach-2016-02-04'], ['https://www.ftc.gov/news-events/press-releases/2017/08/operator-online-tax-preparation-service-agrees-settle-ftc-charges'], ['https://www.consumer.ftc.gov/blog/2017/08/taxslayer-file-one-under-authentication']]",taxslayercorp.com,1965.0,computer software,51 - 200,"evans, georgia, united states",united states,linkedin.com/company/taxslayerllc,90.0,214.0,US,187.24.00,-11976.31.00
264,TD Ameritrade,td ameritrade,2007,6300000.0,['financial'],['hacked'],[['https://www.wired.com/threatlevel/2008/07/ameritrade-hack/']],tdameritrade.com,1975.0,financial services,5001 - 10000,"omaha, nebraska, united states",united states,linkedin.com/company/td-ameritrade,4840.0,10585.0,US,187.24.00,-11976.31.00
265,TD Bank,td bank,2012,260000.0,['financial'],['hacked'],"[['http://legalnewsline.com/stories/td-bank-reaches-data-breach-settlement-with-massachusetts'], ['http://www.americanbanker.com/news/bank-technology/td-bank-pays-625000-in-mass-data-breach-settlement-1071592-1.html']]",0,0.0,banking,1 - 10,"Cherry Hill, New Jersey, United States",united states,linkedin.com/company/td-bank,3.0,4.0,US,187.24.00,-11976.31.00
266,TerraCom & YourTel,terracom,2013,170000.0,['telecoms'],['accidental'],"[['https://boingboing.net/2013/05/23/terracom-and-yourtel-threaten.html'], ['https://www.wired.co.uk/news/archive/2013-05/23/reporter-google-breach-hacker']]",0,0.0,events services,51 - 200,"cubatao, sao paulo, brazil",brazil,linkedin.com/company/terracom,27.0,61.0,BR,-3930.44.00,-1593.08.00
267,Tesla,tesla motors limited,2023,75000.0,['transport'],['inside job'],[['https://www.theverge.com/2023/8/21/23839940/tesla-data-leak-inside-job-handelsblatt']],0,0.0,automotive,0,"Austin, Texas, United States",united states,linkedin.com/company/tesla-motors-limited,9.0,11.0,US,187.24.00,-11976.31.00
268,Tetrad,tetrad investment bank,2020,120000000.0,['financial'],['poor security'],[['https://news.bloomberglaw.com/tech-and-telecom-law/retail-customer-data-exposure-spotlights-cloud-security-risk']],0,2009.0,investment banking,201 - 500,0,canada,linkedin.com/company/tetrad-investment-bank,74.0,180.0,CA,2228.46.00,-5885.31.00
269,Texas Lottery,texas lottery commission,2007,89000.0,['government'],['inside job'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],txlottery.org,0.0,gambling & casinos,201 - 500,"corpus christi, texas, united states",united states,linkedin.com/company/texas-lottery-commission,111.0,215.0,US,187.24.00,-11976.31.00
270,Ticketfly (subsidiary of Eventbrite),ticketfly,2018,26151608.0,['retail'],['hacked'],[['https://motherboard.vice.com/en_us/article/j5kd4b/ticketfly-hack-breach-26-million-users-emails-home-addresses']],ticketfly.com,2008.0,entertainment,51 - 200,"san francisco, california, united states",united states,linkedin.com/company/ticketfly,56.0,334.0,US,187.24.00,-11976.31.00
271,Tianya Club,tianya,2011,28000000.0,['web'],['hacked'],"[['http://www.scmagazine.com.au/News/349585,28-million-clear-text-passwords-found-after-tianya65279-hack.aspx']]",tianya.cn,1999.0,online media,51 - 200,"haikou, hainan, china",china,linkedin.com/company/tianya,51.0,90.0,CN,1471.06.00,3360.37.00
272,TikTok,tiktok,2020,42000000.0,['social network'],['poor security'],[['https://www.forbes.com/sites/daveywinder/2020/08/19/massive-data-leak235-million-instagram-tiktok-and-youtube-user-profiles-exposed/']],tiktok.com,2012.0,marketing and advertising,11 - 50,"vancouver, british columbia, canada",canada,linkedin.com/company/tiktok,7.0,11.0,CA,2228.46.00,-5885.31.00
273,TK / TJ Maxx,tj maxx,2007,94000000.0,['retail'],['hacked'],"[['https://www.zdnet.com/wi-fi-hack-caused-tk-maxx-security-breach/'], ['https://www.nbcnews.com/id/17871485']]",0,0.0,retail,10001+,"Framingham, Massachusetts, United States",united states,linkedin.com/company/tj-maxx,5058.0,15312.0,US,187.24.00,-11976.31.00
274,"T-Mobile, Deutsche Telekom",deutsche telekom,2006,17000000.0,['telecoms'],['lost / stolen'],"[['https://wayback.archive-it.org/all/20150919100714/http://datalossdb.org/', 'http://datalossdb.org/'], ['http://www.informationweek.com/security/attacks/t-mobile-lost-17-million-subscribers-per/']]",0,1995.0,telecommunications,10001+,"bonn, nordrhein-westfalen, germany",germany,linkedin.com/company/telekom,6316.0,15364.0,DE,2812.31.00,7535.26.00
275,T-Mobile,t-mobile,2021,45000000.0,['telecoms'],['hacked'],[['https://www.theverge.com/2021/8/18/22630446/t-mobile-47-million-data-breach-ssn-pin-pii']],tmobile.com,2002.0,telecommunications,10001+,"bellevue, washington, united states",united states,linkedin.com/company/t-mobile,30100.0,71654.0,US,187.24.00,-11976.31.00
276,T-Mobile,t-mobile,2023,37000000.0,['telecoms'],['hacked'],[['https://techcrunch.com/2023/01/19/t-mobile-data-breach/']],tmobile.com,2002.0,telecommunications,10001+,"bellevue, washington, united states",united states,linkedin.com/company/t-mobile,30100.0,71654.0,US,187.24.00,-11976.31.00
277,Tokopedia,tokopedia,2020,91000000.0,['retail'],['hacked'],[['https://www.thejakartapost.com/news/2020/05/04/tokopedia-data-breach-exposes-vulnerability-of-personal-data.html']],tokopedia.com,2009.0,internet,1001 - 5000,"jakarta, jakarta raya, indonesia",indonesia,linkedin.com/company/pt--tokopedia,1071.0,1608.0,ID,-13154.35.00,15468.27.00
278,Trello,trello,2024,15111945.0,['tech'],['misconfig'],[['https://www.bleepingcomputer.com/news/security/trello-api-abused-to-link-email-addresses-to-15-million-accounts/']],trello.com,2011.0,computer software,51 - 200,"new york, new york, united states",united states,linkedin.com/company/trello,44.0,113.0,US,187.24.00,-11976.31.00
279,Tricare,tricare,2011,4901432.0,['healthcare'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],tricaremn.com,2012.0,hospital & health care,51 - 200,"minnetonka, minnesota, united states",united states,linkedin.com/company/tricare,48.0,73.0,US,187.24.00,-11976.31.00
280,"Triple-S Salud, Inc.",triple-s salud,2010,398000.0,['healthcare'],['lost / stolen'],[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html']],ssspr.com,0.0,insurance,51 - 200,0,puerto rico,linkedin.com/company/grupo-triple-s-salud,36.0,63.0,PR,3698.33.00,-9901.49.00
281,Truecaller,truecaller,2019,299055000.0,['web'],['unknown'],"[['https://www.analyticsindiamag.com/data-breach-truecaller-exposes-indian-users-data-shows-cracks-in-cyber-security-infrastructure/'], ['https://economictimes.indiatimes.com/tech/internet/real-threat-truecaller-data-available-for-sale/articleshow/69437379.cms']]",truecaller.com,2009.0,internet,201 - 500,"stockholm, stockholms lan, sweden",sweden,linkedin.com/company/truecaller,90.0,170.0,SE,2196.01.00,10743.01.00
282,Tumblr,tumblr,2013,65469298.0,['social network'],['hacked'],[['https://motherboard.vice.com/en_us/article/hackers-stole-68-million-passwords-from-tumblr-new-analysis-reveals']],tumblr.com,2007.0,internet,1001 - 5000,"new york, new york, united states",united states,linkedin.com/company/tumblr,803.0,1317.0,US,187.24.00,-11976.31.00
283,Twitter,twitter,2013,250000.0,['social network'],['hacked'],"[['https://web.archive.org/web/20130204085709/https://www.wired.co.uk/news/archive/2013-02/02/twitter-hacked', 'https://www.wired.co.uk/news/archive/2013-02/02/twitter-hacked']]",twitter.com,2006.0,internet,5001 - 10000,"san francisco, california, united states",united states,linkedin.com/company/twitter,4813.0,8985.0,US,187.24.00,-11976.31.00
284,Uber,uber,2014,50000.0,['transport'],['poor security'],[['https://www.forbes.com/sites/davelewis/2015/02/28/uber-suffers-data-breach-affecting-50000/']],uber.com,2009.0,internet,10001+,"san francisco, california, united states",united states,linkedin.com/company/uber-com,22415.0,36867.0,US,187.24.00,-11976.31.00
285,Uber,uber,2017,57000000.0,['transport'],['hacked'],[['https://www.uber.com/newsroom/2016-data-incident']],uber.com,2009.0,internet,10001+,"san francisco, california, united states",united states,linkedin.com/company/uber-com,22415.0,36867.0,US,187.24.00,-11976.31.00
286,Ubuntu,ubuntu,2013,2000000.0,['tech'],['hacked'],[['https://arstechnica.com/security/2013/07/hack-exposes-e-mail-addresses-password-data-for-2-million-ubuntu-forum-users/']],ubuntu.com,2004.0,computer software,201 - 500,"london, greater london, united kingdom",united kingdom,linkedin.com/company/ubuntu,150.0,293.0,GB,6355.51.00,-7269.13.00
287,"UCLA Medical Center, Santa Monica",ronald reagan ucla medical center,2015,4500000.0,['healthcare'],['hacked'],[['http://www.healthcareitnews.com/news/hackers-swipe-data-45m-ucla-health-system-massive-cyberattack']],0,0.0,0,0,"Santa Monica, California",united states,linkedin.com/company/ron-corp-limited,1.0,2.0,US,187.24.00,-11976.31.00
288,UK Home Office,uk government,2008,84000.0,['government'],['lost / stolen'],[['http://news.bbc.co.uk/2/hi/uk_news/politics/7845024.stm']],0,0.0,government administration,5001 - 10000,0,united kingdom,linkedin.com/company/uk-government,1676.0,3787.0,GB,6355.51.00,-7269.13.00
289,UK Ministry of Defence,uk government,2008,1700000.0,['government'],['lost / stolen'],[['http://news.bbc.co.uk/1/hi/uk_politics/7667507.stm']],0,0.0,government administration,5001 - 10000,0,united kingdom,linkedin.com/company/uk-government,1676.0,3787.0,GB,6355.51.00,-7269.13.00
290,UK Revenue & Customs,uk government,2007,25000000.0,['government'],['lost / stolen'],[['http://news.bbc.co.uk/2/hi/uk_news/7103911.stm']],0,0.0,government administration,5001 - 10000,0,united kingdom,linkedin.com/company/uk-government,1676.0,3787.0,GB,6355.51.00,-7269.13.00
291,MyFitnessPal (Under Armour subsidiary,myfitnesspal,2018,150000000.0,['web'],['hacked'],"[['https://www.bbc.com/news/technology-43592470'], ['https://web.archive.org/web/20180331040524/http://www.javarosa.org/2018/03/myfitness-pal-data-breach-march-15-2018.html', 'http://www.javarosa.org/2018/03/myfitness-pal-data-breach-march-15-2018.html']]",myfitnesspal.com,2005.0,internet,51 - 200,"san francisco, california, united states",united states,linkedin.com/company/myfitnesspal,38.0,118.0,US,187.24.00,-11976.31.00
292,"University of California, Berkeley",uc berkeley,2009,160000.0,['academic'],['hacked'],[['https://www.nbcnews.com/id/30645920']],berkeley.edu,1868.0,higher education,10001+,"berkeley, california, united states",united states,linkedin.com/company/uc-berkeley,10808.0,42665.0,US,187.24.00,-11976.31.00
293,"University of California, Berkeley",uc berkeley,2016,80000.0,['academic'],['hacked'],[['http://www.foxnews.com/tech/2016/02/28/data-breach-affects-80000-uc-berkeley-faculty-students-and-alumni.html']],berkeley.edu,1868.0,higher education,10001+,"berkeley, california, united states",united states,linkedin.com/company/uc-berkeley,10808.0,42665.0,US,187.24.00,-11976.31.00
294,"University of Maryland, College Park",university of maryland,2014,300000.0,['academic'],['hacked'],[['https://www.washingtonpost.com/local/college-park-shady-grove-campuses-affected-by-university-of-maryland-security-breach/2014/02/19/ce438108-99bd-11e3-80ac-63a8ba7f7942_story.html']],umd.edu,1856.0,higher education,10001+,"college park, maryland, united states",united states,linkedin.com/company/university-of-maryland,9384.0,30951.0,US,187.24.00,-11976.31.00
295,University of Central Florida,university of central florida,2016,63000.0,['academic'],['hacked'],[['http://www.washingtontimes.com/news/2016/feb/5/63k-social-security-numbers-compromised-in-ucf-dat/']],ucf.edu,0.0,higher education,10001+,"orlando, florida, united states",united states,linkedin.com/company/university-of-central-florida,6419.0,19087.0,US,187.24.00,-11976.31.00
296,University of Miami,university of miami,2008,2100000.0,['academic'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],miami.edu,1925.0,higher education,10001+,0,united states,linkedin.com/company/university-of-miami,6563.0,17500.0,US,187.24.00,-11976.31.00
